part_number,contract_number,award_date,quantity,unit_price,material,program
TG-5842-001,W912HN-23-D-0047,2023-06-15,150,12400.00,Ti-6Al-4V,F-35
TG-5842-001,W912HN-22-D-0089,2022-09-01,100,12850.00,Ti-6Al-4V,F-35
TG-5842-001,W912HN-21-D-0156,2021-06-01,75,13200.00,Ti-6Al-4V,F-35
SS-5842-002,W912HN-23-D-0047,2023-06-15,150,15900.00,7075-T6,F-35
SS-5842-002,W912HN-22-D-0089,2022-09-01,100,16200.00,7075-T6,F-35
SS-5842-002,W912HN-21-D-0156,2021-06-01,75,16500.00,7075-T6,F-35
CG-7621-001,W56HZV-24-C-0012,2024-01-15,200,14000.00,Ti-6Al-4V,UH-60
CG-7621-001,W56HZV-23-C-0089,2023-05-01,150,14500.00,Ti-6Al-4V,UH-60
CG-7621-001,W56HZV-22-C-0145,2022-08-15,125,14800.00,Ti-6Al-4V,UH-60
TG-5843-001,FA8615-23-C-0034,2023-09-01,50,18500.00,Ti-6Al-4V,F-22
TG-5843-001,FA8615-22-C-0078,2022-04-01,40,18900.00,Ti-6Al-4V,F-22
SS-5843-002,FA8615-23-C-0034,2023-09-01,50,22000.00,15-5PH,F-22
CG-7622-001,W911W4-24-D-0023,2024-02-01,80,15000.00,7075-T6,C-17
CG-7622-001,W911W4-23-D-0056,2023-07-15,70,15500.00,7075-T6,C-17
