week_start,product_id,region,units_sold
2025-08-11,PRD-CSW-4860,Northeast,1028
2025-08-11,PRD-CSW-4860,Midwest,1130
2025-08-11,PRD-CSW-4860,South,1112
2025-08-11,PRD-CSW-4860,Southeast,1106
2025-08-11,PRD-VSD-2201,Northeast,2472
2025-08-11,PRD-VSD-2201,Midwest,2472
2025-08-11,PRD-VSD-2201,South,2470
2025-08-11,PRD-VSD-2201,Southeast,2408
2025-08-11,PRD-RFP-1102,Northeast,851
2025-08-11,PRD-RFP-1102,Midwest,807
2025-08-11,PRD-RFP-1102,South,969
2025-08-11,PRD-RFP-1102,Southeast,931
2025-08-11,PRD-DRL-3304,Northeast,550
2025-08-11,PRD-DRL-3304,Midwest,492
2025-08-11,PRD-DRL-3304,South,551
2025-08-11,PRD-DRL-3304,Southeast,528
2025-08-11,PRD-TRM-9910,Northeast,1379
2025-08-11,PRD-TRM-9910,Midwest,1343
2025-08-11,PRD-TRM-9910,South,1263
2025-08-11,PRD-TRM-9910,Southeast,1364
2025-08-11,PRD-SSH-5402,Northeast,367
2025-08-11,PRD-SSH-5402,Midwest,347
2025-08-11,PRD-SSH-5402,South,416
2025-08-11,PRD-SSH-5402,Southeast,446
2025-08-18,PRD-CSW-4860,Northeast,1050
2025-08-18,PRD-CSW-4860,Midwest,1152
2025-08-18,PRD-CSW-4860,South,1062
2025-08-18,PRD-CSW-4860,Southeast,1107
2025-08-18,PRD-VSD-2201,Northeast,2593
2025-08-18,PRD-VSD-2201,Midwest,2471
2025-08-18,PRD-VSD-2201,South,2433
2025-08-18,PRD-VSD-2201,Southeast,2329
2025-08-18,PRD-RFP-1102,Northeast,843
2025-08-18,PRD-RFP-1102,Midwest,846
2025-08-18,PRD-RFP-1102,South,1020
2025-08-18,PRD-RFP-1102,Southeast,917
2025-08-18,PRD-DRL-3304,Northeast,498
2025-08-18,PRD-DRL-3304,Midwest,552
2025-08-18,PRD-DRL-3304,South,544
2025-08-18,PRD-DRL-3304,Southeast,506
2025-08-18,PRD-TRM-9910,Northeast,1331
2025-08-18,PRD-TRM-9910,Midwest,1292
2025-08-18,PRD-TRM-9910,South,1258
2025-08-18,PRD-TRM-9910,Southeast,1348
2025-08-18,PRD-SSH-5402,Northeast,373
2025-08-18,PRD-SSH-5402,Midwest,327
2025-08-18,PRD-SSH-5402,South,456
2025-08-18,PRD-SSH-5402,Southeast,401
2025-08-25,PRD-CSW-4860,Northeast,1079
2025-08-25,PRD-CSW-4860,Midwest,1098
2025-08-25,PRD-CSW-4860,South,1095
2025-08-25,PRD-CSW-4860,Southeast,1166
2025-08-25,PRD-VSD-2201,Northeast,2434
2025-08-25,PRD-VSD-2201,Midwest,2572
2025-08-25,PRD-VSD-2201,South,2594
2025-08-25,PRD-VSD-2201,Southeast,2331
2025-08-25,PRD-RFP-1102,Northeast,828
2025-08-25,PRD-RFP-1102,Midwest,850
2025-08-25,PRD-RFP-1102,South,1008
2025-08-25,PRD-RFP-1102,Southeast,975
2025-08-25,PRD-DRL-3304,Northeast,530
2025-08-25,PRD-DRL-3304,Midwest,501
2025-08-25,PRD-DRL-3304,South,504
2025-08-25,PRD-DRL-3304,Southeast,559
2025-08-25,PRD-TRM-9910,Northeast,1246
2025-08-25,PRD-TRM-9910,Midwest,1307
2025-08-25,PRD-TRM-9910,South,1217
2025-08-25,PRD-TRM-9910,Southeast,1333
2025-08-25,PRD-SSH-5402,Northeast,368
2025-08-25,PRD-SSH-5402,Midwest,341
2025-08-25,PRD-SSH-5402,South,415
2025-08-25,PRD-SSH-5402,Southeast,424
2025-09-01,PRD-CSW-4860,Northeast,1074
2025-09-01,PRD-CSW-4860,Midwest,1159
2025-09-01,PRD-CSW-4860,South,1033
2025-09-01,PRD-CSW-4860,Southeast,1058
2025-09-01,PRD-VSD-2201,Northeast,2553
2025-09-01,PRD-VSD-2201,Midwest,2610
2025-09-01,PRD-VSD-2201,South,2525
2025-09-01,PRD-VSD-2201,Southeast,2483
2025-09-01,PRD-RFP-1102,Northeast,796
2025-09-01,PRD-RFP-1102,Midwest,749
2025-09-01,PRD-RFP-1102,South,940
2025-09-01,PRD-RFP-1102,Southeast,1003
2025-09-01,PRD-DRL-3304,Northeast,488
2025-09-01,PRD-DRL-3304,Midwest,537
2025-09-01,PRD-DRL-3304,South,496
2025-09-01,PRD-DRL-3304,Southeast,534
2025-09-01,PRD-TRM-9910,Northeast,1326
2025-09-01,PRD-TRM-9910,Midwest,1335
2025-09-01,PRD-TRM-9910,South,1215
2025-09-01,PRD-TRM-9910,Southeast,1292
2025-09-01,PRD-SSH-5402,Northeast,326
2025-09-01,PRD-SSH-5402,Midwest,339
2025-09-01,PRD-SSH-5402,South,439
2025-09-01,PRD-SSH-5402,Southeast,453
2025-09-08,PRD-CSW-4860,Northeast,1143
2025-09-08,PRD-CSW-4860,Midwest,1128
2025-09-08,PRD-CSW-4860,South,1110
2025-09-08,PRD-CSW-4860,Southeast,1168
2025-09-08,PRD-VSD-2201,Northeast,2468
2025-09-08,PRD-VSD-2201,Midwest,2442
2025-09-08,PRD-VSD-2201,South,2512
2025-09-08,PRD-VSD-2201,Southeast,2466
2025-09-08,PRD-RFP-1102,Northeast,765
2025-09-08,PRD-RFP-1102,Midwest,848
2025-09-08,PRD-RFP-1102,South,955
2025-09-08,PRD-RFP-1102,Southeast,1010
2025-09-08,PRD-DRL-3304,Northeast,516
2025-09-08,PRD-DRL-3304,Midwest,548
2025-09-08,PRD-DRL-3304,South,491
2025-09-08,PRD-DRL-3304,Southeast,531
2025-09-08,PRD-TRM-9910,Northeast,1253
2025-09-08,PRD-TRM-9910,Midwest,1329
2025-09-08,PRD-TRM-9910,South,1219
2025-09-08,PRD-TRM-9910,Southeast,1227
2025-09-08,PRD-SSH-5402,Northeast,351
2025-09-08,PRD-SSH-5402,Midwest,345
2025-09-08,PRD-SSH-5402,South,447
2025-09-08,PRD-SSH-5402,Southeast,448
2025-09-15,PRD-CSW-4860,Northeast,1088
2025-09-15,PRD-CSW-4860,Midwest,1092
2025-09-15,PRD-CSW-4860,South,1144
2025-09-15,PRD-CSW-4860,Southeast,1072
2025-09-15,PRD-VSD-2201,Northeast,2478
2025-09-15,PRD-VSD-2201,Midwest,2328
2025-09-15,PRD-VSD-2201,South,2552
2025-09-15,PRD-VSD-2201,Southeast,2321
2025-09-15,PRD-RFP-1102,Northeast,840
2025-09-15,PRD-RFP-1102,Midwest,784
2025-09-15,PRD-RFP-1102,South,1036
2025-09-15,PRD-RFP-1102,Southeast,922
2025-09-15,PRD-DRL-3304,Northeast,532
2025-09-15,PRD-DRL-3304,Midwest,493
2025-09-15,PRD-DRL-3304,South,503
2025-09-15,PRD-DRL-3304,Southeast,498
2025-09-15,PRD-TRM-9910,Northeast,1349
2025-09-15,PRD-TRM-9910,Midwest,1248
