contract_number,clin,part_number,description,quantity,unit_price
W912HN-23-D-0047,0001,TG-5842-001,Throttle Grip Assembly F-35,150,12400.00
W912HN-23-D-0047,0002,SS-5842-002,Sidestick Grip Assembly F-35,150,15900.00
W912HN-23-D-0047,0003,TG-5842-SP1,Throttle Grip Spares Kit,50,2400.00
W912HN-22-D-0089,0001,TG-5842-001,Throttle Grip Assembly F-35,100,12850.00
W912HN-22-D-0089,0002,SS-5842-002,Sidestick Grip Assembly F-35,100,16200.00
W912HN-21-D-0156,0001,TG-5842-001,Throttle Grip Assembly F-35,75,13200.00
W912HN-21-D-0156,0002,SS-5842-002,Sidestick Grip Assembly F-35,75,16500.00
W56HZV-24-C-0012,0001,CG-7621-001,Collective Grip Assembly UH-60,200,14000.00
W56HZV-23-C-0089,0001,CG-7621-001,Collective Grip Assembly UH-60,150,14500.00
W56HZV-22-C-0145,0001,CG-7621-001,Collective Grip Assembly UH-60,125,14800.00
FA8615-23-C-0034,0001,TG-5843-001,Throttle Grip Assembly F-22,50,18500.00
FA8615-23-C-0034,0002,SS-5843-002,Sidestick Grip Assembly F-22,50,22000.00
FA8615-22-C-0078,0001,TG-5843-001,Throttle Grip Assembly F-22,40,18900.00
W911W4-24-D-0023,0001,CG-7622-001,Control Grip Assembly C-17,80,15000.00
W911W4-23-D-0056,0001,CG-7622-001,Control Grip Assembly C-17,70,15500.00
