lot_id,supplier_id,material_id,inspection_date,moisture_pct,purity_pct,viscosity,pass_fail,risk_label
LOT-44-001,SUP-0044,VR-4400,2025-10-03,0.0664,98.96,136.0,1,Low
LOT-44-002,SUP-0044,VR-4400,2025-10-05,0.0633,99.41,138.6,1,Low
LOT-44-003,SUP-0044,VR-4400,2025-10-07,0.0595,99.31,141.4,1,Low
LOT-44-004,SUP-0044,VR-4400,2025-10-09,0.0525,99.16,134.8,1,Low
LOT-44-005,SUP-0044,VR-4400,2025-10-11,0.0579,99.31,134.5,1,Low
LOT-44-006,SUP-0044,VR-4400,2025-10-13,0.068,99.18,135.1,1,Low
LOT-44-007,SUP-0044,VR-4400,2025-10-15,0.0665,99.1,139.2,1,Low
LOT-44-008,SUP-0044,VR-4400,2025-10-17,0.06,98.97,137.9,1,Low
LOT-44-009,SUP-0044,VR-4400,2025-10-19,0.0603,99.25,139.2,1,Low
LOT-44-010,SUP-0044,VR-4400,2025-10-21,0.059,99.25,141.3,1,Low
LOT-44-011,SUP-0044,VR-4400,2025-10-23,0.0567,99.46,137.5,1,Low
LOT-44-012,SUP-0044,VR-4400,2025-10-25,0.064,99.33,139.8,1,Low
LOT-44-013,SUP-0044,VR-4400,2025-10-27,0.0627,99.19,139.4,1,Low
LOT-44-014,SUP-0044,VR-4400,2025-10-29,0.0566,99.26,137.2,1,Low
LOT-44-015,SUP-0044,VR-4400,2025-10-31,0.0649,99.42,135.6,1,Low
LOT-44-016,SUP-0044,VR-4400,2025-11-02,0.061,99.39,139.5,1,Low
LOT-44-017,SUP-0044,VR-4400,2025-11-04,0.0585,98.91,139.4,1,Low
LOT-44-018,SUP-0044,VR-4400,2025-11-06,0.0556,99.21,135.3,1,Low
LOT-44-019,SUP-0044,VR-4400,2025-11-08,0.0659,99.06,137.3,1,Low
LOT-44-020,SUP-0044,VR-4400,2025-11-10,0.057,98.87,137.6,1,Low
LOT-44-021,SUP-0044,VR-4400,2025-11-12,0.0686,98.95,134.5,1,Low
LOT-44-022,SUP-0044,VR-4400,2025-11-14,0.0585,99.02,136.0,1,Low
LOT-44-023,SUP-0044,VR-4400,2025-11-16,0.055,99.4,140.6,1,Low
LOT-44-024,SUP-0044,VR-4400,2025-11-18,0.0586,99.47,138.2,1,Low
LOT-81-001,SUP-0081,VR-4400,2025-11-20,0.0872,98.29,145.6,1,Low
LOT-81-002,SUP-0081,VR-4400,2025-11-22,0.0792,98.06,141.6,1,Low
LOT-81-003,SUP-0081,VR-4400,2025-11-24,0.0727,97.9,145.7,1,Low
LOT-81-004,SUP-0081,VR-4400,2025-11-26,0.0744,98.47,147.4,1,Low
LOT-81-005,SUP-0081,VR-4400,2025-11-28,0.0739,98.44,144.0,1,Low
LOT-81-006,SUP-0081,VR-4400,2025-11-30,0.0789,98.17,143.4,1,Low
LOT-81-007,SUP-0081,VR-4400,2025-12-02,0.0751,98.27,148.2,1,Low
LOT-81-008,SUP-0081,VR-4400,2025-12-04,0.0803,98.1,144.8,1,Low
LOT-81-009,SUP-0081,VR-4400,2025-12-06,0.0793,98.29,145.4,1,Low
LOT-81-010,SUP-0081,VR-4400,2025-12-08,0.0856,97.93,142.9,1,Low
LOT-81-011,SUP-0081,VR-4400,2025-12-10,0.0817,98.48,145.2,1,Low
LOT-81-012,SUP-0081,VR-4400,2025-12-12,0.088,98.51,146.7,1,Low
LOT-81-013,SUP-0081,VR-4400,2025-12-14,0.0883,98.54,147.5,1,Low
LOT-81-014,SUP-0081,VR-4400,2025-12-16,0.0759,98.29,145.0,1,Low
LOT-81-015,SUP-0081,VR-4400,2025-12-18,0.0821,97.88,146.6,1,Low
