cycle_date,device_type,firmware_from,firmware_to,region,test_pass_rate,schema_drift_events,upgrade_duration_actual_min,post_upgrade_incidents_30d,outage_occurred,outage_severity
2024-07-02,CaaS-Node-Type-A,24.01,24.06,Northwest,0.904,3,333,2,False,none
2024-07-02,CaaS-Node-Type-A,23.12,24.01,Northeast,0.855,0,210,0,False,none
2024-07-03,CaaS-Node-Type-A,24.01,24.12,South_Central,0.881,2,215,1,False,none
2024-07-03,CaaS-Node-Type-C,22.12,23.12,Northwest,0.939,0,318,2,False,none
2024-07-03,CaaS-Node-Type-A,22.12,23.06,Northwest,0.931,1,359,1,False,none
2024-07-03,CaaS-Node-Type-C,23.12,24.06,Southwest,0.943,0,346,0,False,none
2024-07-04,CaaS-Node-Type-A,22.12,23.12,South_Central,0.884,0,145,0,False,none
2024-07-05,CaaS-Node-Type-C,22.12,23.06,Southeast,0.948,0,326,0,False,none
2024-07-06,CaaS-Node-Type-B,24.01,24.12,Southeast,0.851,2,261,2,False,none
2024-07-07,CaaS-Node-Type-B,23.06,24.01,Southeast,0.55,0,238,2,False,none
2024-07-07,CaaS-Node-Type-C,22.12,23.12,Northeast,0.904,0,172,8,False,none
2024-07-08,CaaS-Node-Type-A,22.12,23.06,Southeast,0.904,1,278,2,False,none
2024-07-08,CaaS-Node-Type-A,24.01,24.06,Southwest,0.941,0,269,1,False,none
2024-07-08,CaaS-Node-Type-A,23.06,24.01,Midwest,0.948,0,208,0,False,none
2024-07-09,CaaS-Node-Type-A,23.12,24.01,Midwest,0.915,0,325,1,False,none
2024-07-09,CaaS-Node-Type-C,24.06,24.12,Southeast,0.896,3,163,0,False,none
2024-07-09,CaaS-Node-Type-B,22.12,23.12,Southeast,0.856,0,338,0,False,none
2024-07-10,CaaS-Node-Type-B,23.06,24.01,Midwest,0.55,0,121,0,False,none
2024-07-11,CaaS-Node-Type-A,23.06,24.01,Northeast,0.902,0,235,2,False,none
2024-07-12,CaaS-Node-Type-A,23.06,23.12,Midwest,0.92,1,151,5,False,none
2024-07-12,CaaS-Node-Type-B,23.06,23.12,Midwest,0.55,0,130,4,False,none
2024-07-13,CaaS-Node-Type-C,23.12,24.01,Southwest,0.882,2,240,1,False,none
2024-07-13,CaaS-Node-Type-A,24.01,24.06,Midwest,0.902,3,289,3,False,none
2024-07-13,CaaS-Node-Type-C,23.12,24.01,South_Central,0.908,0,342,0,False,none
2024-07-14,CaaS-Node-Type-B,23.12,24.01,Southeast,0.918,0,370,0,False,none
2024-07-14,CaaS-Node-Type-A,24.06,24.12,Southwest,0.896,0,292,0,False,none
2024-07-15,CaaS-Node-Type-A,22.12,23.06,Northwest,0.95,0,247,0,False,none
2024-07-15,CaaS-Node-Type-A,23.06,23.12,Northwest,0.921,0,343,3,False,none
2024-07-15,CaaS-Node-Type-C,23.06,24.01,Midwest,0.944,2,187,3,False,none
2024-07-17,CaaS-Node-Type-C,22.12,23.12,Northeast,0.865,1,142,0,False,none
2024-07-18,CaaS-Node-Type-A,23.12,24.01,South_Central,0.915,0,230,2,False,none
2024-07-18,CaaS-Node-Type-A,22.12,23.12,Midwest,0.893,3,335,0,False,none
2024-07-19,CaaS-Node-Type-C,23.12,24.01,South_Central,0.958,2,174,5,False,none
2024-07-19,CaaS-Node-Type-C,22.12,23.12,Northwest,0.912,1,148,1,False,none
2024-07-20,CaaS-Node-Type-C,23.12,24.01,Northwest,0.894,0,348,2,False,none
2024-07-20,CaaS-Node-Type-C,23.06,24.01,Southeast,0.916,0,149,3,False,none
2024-07-21,CaaS-Node-Type-B,23.06,23.12,Southeast,0.55,0,202,5,False,none
2024-07-21,CaaS-Node-Type-A,24.06,24.12,Midwest,0.884,0,380,0,False,none
2024-07-21,CaaS-Node-Type-A,22.12,23.06,Northeast,0.878,2,348,0,False,none
2024-07-21,CaaS-Node-Type-B,24.01,24.12,Southeast,0.893,0,332,2,False,none
2024-07-21,CaaS-Node-Type-C,24.01,24.12,South_Central,0.895,1,178,1,False,none
2024-07-22,CaaS-Node-Type-B,22.12,23.06,Midwest,0.86,0,301,0,False,none
2024-07-22,CaaS-Node-Type-B,24.01,24.12,Northwest,0.85,3,264,0,False,none
2024-07-22,CaaS-Node-Type-B,23.12,24.06,Northeast,0.811,1,120,0,False,none
2024-07-22,CaaS-Node-Type-C,22.12,23.12,Southeast,0.947,0,285,3,False,none
2024-07-23,CaaS-Node-Type-A,23.12,24.01,Northwest,0.918,1,338,0,False,none
2024-07-24,CaaS-Node-Type-B,23.12,24.06,Midwest,0.854,1,290,0,False,none
2024-07-24,CaaS-Node-Type-B,23.06,24.01,South_Central,0.55,3,267,5,False,none
2024-07-24,CaaS-Node-Type-A,24.01,24.12,Southwest,0.888,0,213,0,False,none
2024-07-25,CaaS-Node-Type-A,22.12,23.12,Southwest,0.884,0,226,0,False,none
2024-07-26,CaaS-Node-Type-B,23.12,24.01,Midwest,0.916,2,215,4,False,none
2024-07-26,CaaS-Node-Type-A,23.12,24.06,South_Central,0.955,0,132,0,False,none
2024-07-26,CaaS-Node-Type-C,23.06,23.12,South_Central,0.941,0,241,2,False,none
2024-07-27,CaaS-Node-Type-C,24.01,24.12,Northwest,0.904,0,367,1,False,none
2024-07-27,CaaS-Node-Type-C,23.06,23.12,Southeast,0.885,0,149,0,False,none
2024-07-28,CaaS-Node-Type-A,23.06,23.12,Northeast,0.902,0,143,1,False,none
2024-07-28,CaaS-Node-Type-B,23.12,24.01,Northwest,0.907,0,239,0,False,none
2024-07-29,CaaS-Node-Type-C,23.06,24.01,Midwest,0.882,0,321,5,False,none
