site_id,region,state,lat,lon,site_type,device_type,current_firmware,target_firmware,device_age_months,incident_count_12m,last_cert_status,last_cert_date,schema_version,ansible_version,openshift_version,vendor_sla_tier,risk_score,risk_tier,wave_assignment
VZ-NO-ROC-00001,Northeast,NY,42.7291,-77.8113,urban_macro,CaaS-Node-Type-B,23.06,24.12,55,3,CONDITIONAL_PASS,2025-07-19,v1.13.0,2.13.7,4.12.4,standard,0.945,critical,wave_3
VZ-NO-MAN-00002,Northeast,NH,43.0874,-71.3997,rural_remote,CaaS-Node-Type-B,23.06,24.12,52,7,CONDITIONAL_PASS,2025-09-26,v1.13.0,2.14.3,4.16.1,standard,0.804,critical,wave_3
VZ-NO-PIT-00003,Northeast,PA,40.1305,-79.5844,rural_remote,CaaS-Node-Type-B,23.06,24.12,13,6,FAIL,2025-11-09,v1.13.0,2.16.0,4.14.10,standard,0.931,critical,wave_3
VZ-NO-HFD-00004,Northeast,CT,41.3867,-72.8595,rural_remote,CaaS-Node-Type-B,23.06,24.12,31,7,FAIL,2025-12-08,v1.13.0,2.13.7,4.13.8,premium,0.682,critical,wave_3
VZ-NO-HFD-00005,Northeast,CT,41.566,-72.5513,urban_macro,CaaS-Node-Type-B,23.06,24.12,31,5,FAIL,2025-12-21,v1.13.0,2.16.0,4.13.8,standard,0.745,critical,wave_3
VZ-NO-PHL-00006,Northeast,PA,39.6497,-75.2737,urban_macro,CaaS-Node-Type-B,24.01,24.12,51,5,PASS,2025-08-27,v1.14.0,2.14.10,4.14.10,standard,0.908,critical,wave_3
VZ-NO-WOR-00007,Northeast,MA,42.779,-71.3219,urban_macro,CaaS-Node-Type-B,23.06,24.12,21,8,CONDITIONAL_PASS,2025-12-15,v1.13.0,2.14.3,4.13.8,premium,0.943,critical,wave_3
VZ-NO-BUR-00008,Northeast,VT,44.2624,-73.136,suburban,CaaS-Node-Type-A,23.12,24.12,16,7,CONDITIONAL_PASS,2025-07-05,v1.14.0,2.16.0,4.14.10,standard,0.902,critical,wave_3
VZ-NO-HFD-00009,Northeast,CT,41.6593,-72.2269,urban_macro,CaaS-Node-Type-B,23.06,24.12,43,3,CONDITIONAL_PASS,2025-11-25,v1.13.0,2.16.0,4.14.2,standard,0.697,critical,wave_3
VZ-NO-NHV-00010,Northeast,CT,41.0006,-73.375,rural_remote,CaaS-Node-Type-B,23.06,24.12,54,5,PASS,2025-11-04,v1.13.0,2.14.10,4.16.1,standard,0.904,critical,wave_3
VZ-NO-WOR-00011,Northeast,MA,42.0948,-71.1461,urban_macro,CaaS-Node-Type-B,23.06,24.12,57,7,PASS,2025-10-01,v1.13.0,2.14.10,4.14.2,standard,0.852,critical,wave_3
VZ-NO-PHL-00012,Northeast,PA,40.2928,-74.7629,suburban,CaaS-Node-Type-B,23.06,24.12,39,3,PASS,2025-08-05,v1.13.0,2.15.4,4.13.8,standard,0.83,critical,wave_3
VZ-NO-NHV-00013,Northeast,CT,41.7262,-72.5419,urban_macro,CaaS-Node-Type-B,24.06,24.12,33,8,CONDITIONAL_PASS,2025-11-15,v1.15.0,2.14.3,4.12.4,standard,0.8,critical,wave_3
VZ-NO-BUR-00014,Northeast,VT,44.233,-73.4639,suburban,CaaS-Node-Type-B,23.06,24.12,48,3,FAIL,2025-09-03,v1.13.0,2.14.10,4.16.1,standard,0.95,critical,wave_3
VZ-NO-BUR-00015,Northeast,VT,44.145,-72.8201,urban_macro,CaaS-Node-Type-B,23.06,24.12,38,4,CONDITIONAL_PASS,2025-08-04,v1.13.0,2.15.1,4.14.2,standard,0.918,critical,wave_3
VZ-NO-PVD-00016,Northeast,RI,42.1515,-71.814,urban_macro,CaaS-Node-Type-B,23.06,24.12,49,3,FAIL,2025-07-08,v1.13.0,2.15.4,4.14.10,standard,0.893,critical,wave_3
VZ-NO-BOS-00017,Northeast,MA,42.1608,-71.2841,dense_urban,CaaS-Node-Type-B,24.12,24.12,43,3,FAIL,2025-07-03,v1.16.0,2.14.3,4.13.8,standard,0.98,critical,wave_3
VZ-NO-POR-00018,Northeast,ME,43.4015,-70.3459,urban_macro,CaaS-Node-Type-B,23.06,24.12,32,3,PASS,2025-10-10,v1.13.0,2.16.0,4.15.5,premium,0.745,critical,wave_3
VZ-NO-POR-00019,Northeast,ME,43.3484,-70.4398,suburban,CaaS-Node-Type-B,24.01,24.12,55,5,FAIL,2025-11-28,v1.14.0,2.13.7,4.15.5,standard,0.847,critical,wave_3
VZ-NO-BOS-00020,Northeast,MA,41.9718,-71.4477,suburban,CaaS-Node-Type-B,24.12,24.12,44,4,CONDITIONAL_PASS,2025-07-14,v1.16.0,2.15.4,4.15.5,standard,0.673,critical,wave_3
VZ-NO-PIT-00021,Northeast,PA,40.1744,-79.8013,dense_urban,CaaS-Node-Type-B,23.06,24.12,33,4,CONDITIONAL_PASS,2025-09-25,v1.13.0,2.13.7,4.14.10,premium,0.756,critical,wave_3
VZ-NO-ROC-00022,Northeast,NY,42.7725,-77.867,rural_remote,CaaS-Node-Type-B,23.06,24.12,30,3,PASS,2025-08-15,v1.13.0,2.16.0,4.14.2,premium,0.778,critical,wave_3
VZ-NO-MAN-00023,Northeast,NH,42.5526,-71.1694,suburban,CaaS-Node-Type-B,23.06,24.12,50,3,PASS,2025-07-04,v1.13.0,2.14.3,4.14.2,standard,0.703,critical,wave_3
VZ-NO-WOR-00024,Northeast,MA,42.6031,-71.6492,suburban,CaaS-Node-Type-B,23.06,24.12,24,7,CONDITIONAL_PASS,2025-07-03,v1.13.0,2.14.10,4.12.4,standard,0.95,critical,wave_3
VZ-NO-BUF-00025,Northeast,NY,43.0098,-79.0926,dense_urban,CaaS-Node-Type-B,23.06,24.12,43,8,CONDITIONAL_PASS,2025-07-23,v1.13.0,2.15.4,4.12.4,premium,0.663,critical,wave_3
VZ-NO-BUR-00026,Northeast,VT,44.1592,-73.5474,urban_macro,CaaS-Node-Type-B,23.06,24.12,58,3,PASS,2025-08-22,v1.13.0,2.15.4,4.14.10,platinum,0.727,critical,wave_3
VZ-NO-BUF-00027,Northeast,NY,43.2696,-79.1153,dense_urban,CaaS-Node-Type-B,23.06,24.12,19,6,FAIL,2025-09-26,v1.13.0,2.16.0,4.16.1,premium,0.896,critical,wave_3
VZ-NO-PIT-00028,Northeast,PA,40.1339,-79.8147,urban_macro,CaaS-Node-Type-B,23.06,24.12,10,6,FAIL,2025-10-12,v1.13.0,2.14.3,4.13.8,standard,0.921,critical,wave_3
VZ-NO-WOR-00029,Northeast,MA,42.3158,-71.5817,suburban,CaaS-Node-Type-B,23.06,24.12,57,5,CONDITIONAL_PASS,2025-12-27,v1.13.0,2.13.7,4.12.4,premium,0.823,critical,wave_3
VZ-NO-PIT-00030,Northeast,PA,40.1513,-79.5796,suburban,CaaS-Node-Type-B,23.06,24.12,14,7,CONDITIONAL_PASS,2025-09-14,v1.13.0,2.15.4,4.12.4,standard,0.893,critical,wave_3
